FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
91,"昭","shining",2017-05-28 20:36:05,2017-06-10,4,16,33
92,"則","rule",2017-06-05 21:34:41,2017-10-04,7,2,10
93,"副","vice-",2017-05-18 08:52:11,2017-06-20,5,4,18
94,"別","separate",2017-03-14 09:59:31,2017-07-25,7,3,21
95,"丁","street",2017-04-09 10:59:41,2017-11-05,8,4,26
96,"町","village(small town)",2017-06-01 07:00:16,2017-08-02,6,9,28
97,"可","can",2017-05-05 11:56:55,2017-07-01,6,3,18
98,"頂","place on the head",2017-04-26 07:54:06,2017-08-25,7,3,21
99,"子","child",2016-12-12 10:39:09,2017-12-11,8,0,10
100,"孔","cavity",2017-04-03 09:46:37,2017-12-15,8,1,14
101,"了","complete",2017-05-22 13:50:59,2017-07-15,6,3,18
102,"女","woman",2016-12-21 08:10:17,2017-12-31,8,0,9
103,"好","fond",2017-04-03 10:45:10,2017-09-21,7,1,15
104,"如","likeness",2017-02-17 16:45:57,2017-06-20,7,6,30
105,"母","mama",2017-04-03 10:10:28,2017-12-06,8,1,9
106,"貫","pierce",2017-05-22 13:55:55,2017-07-14,6,7,26
107,"兄","elder brother",2017-05-28 13:11:24,2017-06-24,5,3,15
108,"呪","curse",2017-05-28 13:29:12,2017-06-26,5,8,25
109,"克","overcome",2017-05-30 07:07:11,2017-06-28,5,9,32
110,"小","little",2017-03-14 10:05:11,2017-10-19,8,1,10
111,"少","few",2017-04-03 10:04:16,2017-10-31,8,1,9
112,"大","large",2017-01-05 10:25:33,2017-12-15,8,0,10
113,"多","many",2016-11-23 07:44:26,2017-06-26,8,0,10
114,"夕","evening",2017-03-14 10:27:53,2017-07-02,7,2,15
115,"汐","eventide",2016-12-14 07:58:09,2017-09-09,8,1,15
116,"外","outside",2017-03-28 08:45:47,2017-07-13,7,3,24
117,"名","name",2017-04-27 22:17:25,2017-08-19,7,1,15
118,"石","stone",2016-12-08 08:49:17,2017-11-22,8,0,9
119,"肖","resemblance",2017-03-14 10:07:12,2017-10-24,8,2,13
